danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,audio_features,5ZULALImTm80tzUbYQYM9d,spotify:track:5ZULALImTm80tzUbYQYM9d,https://api.spotify.com/v1/tracks/5ZULALImTm80tzUbYQYM9d,https://api.spotify.com/v1/audio-analysis/5ZULALImTm80tzUbYQYM9d,209438,4,Dance Monkey
0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,audio_features,15JINEqzVMv3SvJTAXAKED,spotify:track:15JINEqzVMv3SvJTAXAKED,https://api.spotify.com/v1/tracks/15JINEqzVMv3SvJTAXAKED,https://api.spotify.com/v1/audio-analysis/15JINEqzVMv3SvJTAXAKED,263373,4,Love The Way You Lie
0.472,0.833,10,-4.486,1,0.162,0.297,0.0,0.056,0.413,166.271,audio_features,6M6lsQB4OhqL41eld29PeC,spotify:track:6M6lsQB4OhqL41eld29PeC,https://api.spotify.com/v1/tracks/6M6lsQB4OhqL41eld29PeC,https://api.spotify.com/v1/audio-analysis/6M6lsQB4OhqL41eld29PeC,296227,4,Love The Way You Lie (Part II) - Pt. 2
0.316,0.887,2,-6.704,0,0.0783,0.217,0.00084,0.985,0.42,112.219,audio_features,2N3MnCb6sHMa8xGhHNopBb,spotify:track:2N3MnCb6sHMa8xGhHNopBb,https://api.spotify.com/v1/tracks/2N3MnCb6sHMa8xGhHNopBb,https://api.spotify.com/v1/audio-analysis/2N3MnCb6sHMa8xGhHNopBb,504707,4,"Layla (with J. J. Cale) - Live at Ipayone Center, San Diego, CA, 3/15/2007"
0.818,0.823,3,-5.88,0,0.0398,0.00118,1.62e-05,0.239,0.626,124.975,audio_features,01TE1eGP7ewSGHbL3IJ1CS,spotify:track:01TE1eGP7ewSGHbL3IJ1CS,https://api.spotify.com/v1/tracks/01TE1eGP7ewSGHbL3IJ1CS,https://api.spotify.com/v1/audio-analysis/01TE1eGP7ewSGHbL3IJ1CS,198199,4,Hands Up
0.621,0.933,6,-3.32,0,0.0538,0.0122,8.57e-05,0.934,0.186,127.965,audio_features,2jZROo6qGuNBg630bDSvfE,spotify:track:2jZROo6qGuNBg630bDSvfE,https://api.spotify.com/v1/tracks/2jZROo6qGuNBg630bDSvfE,https://api.spotify.com/v1/audio-analysis/2jZROo6qGuNBg630bDSvfE,278708,4,Catch Me
0.548,0.885,6,-1.48,1,0.125,0.139,0.0,0.0716,0.509,172.946,audio_features,5w0fJChfLdRN3bGTnJGaSx,spotify:track:5w0fJChfLdRN3bGTnJGaSx,https://api.spotify.com/v1/tracks/5w0fJChfLdRN3bGTnJGaSx,https://api.spotify.com/v1/audio-analysis/5w0fJChfLdRN3bGTnJGaSx,208862,4,CHEER UP
0.831,0.849,7,-7.407,1,0.0542,0.092,2.96e-05,0.0458,0.902,130.005,audio_features,36r4cTfmjVo5JYqNBIcjk6,spotify:track:36r4cTfmjVo5JYqNBIcjk6,https://api.spotify.com/v1/tracks/36r4cTfmjVo5JYqNBIcjk6,https://api.spotify.com/v1/audio-analysis/36r4cTfmjVo5JYqNBIcjk6,214427,4,Roly-Poly
0.796,0.742,11,-4.117,0,0.0631,0.0703,0.0,0.0632,0.545,128.063,audio_features,4CpfcvoNDEEcIPYoJDS0Vl,spotify:track:4CpfcvoNDEEcIPYoJDS0Vl,https://api.spotify.com/v1/tracks/4CpfcvoNDEEcIPYoJDS0Vl,https://api.spotify.com/v1/audio-analysis/4CpfcvoNDEEcIPYoJDS0Vl,215249,4,Lovey-Dovey
0.751,0.736,5,-4.168,0,0.156,0.0206,0.0,0.265,0.352,130.014,audio_features,7mitXLIMCflkhZiD34uEQI,spotify:track:7mitXLIMCflkhZiD34uEQI,https://api.spotify.com/v1/tracks/7mitXLIMCflkhZiD34uEQI,https://api.spotify.com/v1/audio-analysis/7mitXLIMCflkhZiD34uEQI,262147,4,Party Rock Anthem
0.743,0.841,0,-5.189,1,0.0391,0.0156,0.0,0.133,0.814,100.003,audio_features,4PVm8e67skz8B8wiJP2kwk,spotify:track:4PVm8e67skz8B8wiJP2kwk,https://api.spotify.com/v1/tracks/4PVm8e67skz8B8wiJP2kwk,https://api.spotify.com/v1/audio-analysis/4PVm8e67skz8B8wiJP2kwk,226800,4,New Thang
0.665,0.866,7,-3.81,1,0.056,0.223,0.0,0.373,0.455,128.041,audio_features,69QlYqNJeZG14R4an2aoJv,spotify:track:69QlYqNJeZG14R4an2aoJv,https://api.spotify.com/v1/tracks/69QlYqNJeZG14R4an2aoJv,https://api.spotify.com/v1/audio-analysis/69QlYqNJeZG14R4an2aoJv,234587,4,Fiction
0.673,0.968,1,-2.636,0,0.131,0.0242,0.0,0.0586,0.476,129.972,audio_features,7kKvrBLjXFPFWtEAjT59CV,spotify:track:7kKvrBLjXFPFWtEAjT59CV,https://api.spotify.com/v1/tracks/7kKvrBLjXFPFWtEAjT59CV,https://api.spotify.com/v1/audio-analysis/7kKvrBLjXFPFWtEAjT59CV,195753,4,KNOCK KNOCK
0.728,0.669,0,-4.73,1,0.0346,0.122,0.0,0.129,0.707,133.961,audio_features,3M0qHiwpoXUMffAS1CBB6M,spotify:track:3M0qHiwpoXUMffAS1CBB6M,https://api.spotify.com/v1/tracks/3M0qHiwpoXUMffAS1CBB6M,https://api.spotify.com/v1/audio-analysis/3M0qHiwpoXUMffAS1CBB6M,242747,4,Wedding Dress
0.751,0.642,3,-5.165,0,0.087,0.0861,0.0,0.0953,0.388,95.045,audio_features,2XIaetAZTyR7oQfHh8DZ2B,spotify:track:2XIaetAZTyR7oQfHh8DZ2B,https://api.spotify.com/v1/tracks/2XIaetAZTyR7oQfHh8DZ2B,https://api.spotify.com/v1/audio-analysis/2XIaetAZTyR7oQfHh8DZ2B,169567,4,SOLO
0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542,audio_features,6zC0mpGYwbNTpk9SKwh08f,spotify:track:6zC0mpGYwbNTpk9SKwh08f,https://api.spotify.com/v1/tracks/6zC0mpGYwbNTpk9SKwh08f,https://api.spotify.com/v1/audio-analysis/6zC0mpGYwbNTpk9SKwh08f,225027,4,Wonderful Tonight
0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109,audio_features,612VcBshQcy4mpB2utGc3H,spotify:track:612VcBshQcy4mpB2utGc3H,https://api.spotify.com/v1/tracks/612VcBshQcy4mpB2utGc3H,https://api.spotify.com/v1/audio-analysis/612VcBshQcy4mpB2utGc3H,280000,4,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster"
0.591,0.848,9,-4.397,0,0.0828,0.137,0.0,0.372,0.386,105.922,audio_features,3IB5qOeMayvpOdHxYCL5tZ,spotify:track:3IB5qOeMayvpOdHxYCL5tZ,https://api.spotify.com/v1/tracks/3IB5qOeMayvpOdHxYCL5tZ,https://api.spotify.com/v1/audio-analysis/3IB5qOeMayvpOdHxYCL5tZ,246816,4,ON (Feat. Sia)
0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,audio_features,70eFcWOvlMObDhURTqT4Fv,spotify:track:70eFcWOvlMObDhURTqT4Fv,https://api.spotify.com/v1/tracks/70eFcWOvlMObDhURTqT4Fv,https://api.spotify.com/v1/audio-analysis/70eFcWOvlMObDhURTqT4Fv,197867,4,Beautiful People (feat. Khalid)
