danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0.674,0.657,2,-4.76,1,0.0285,0.586,0.0,0.112,0.351,95.033,audio_features,4ZkdPpJbOvBqjYnDq23Zp9,spotify:track:4ZkdPpJbOvBqjYnDq23Zp9,https://api.spotify.com/v1/tracks/4ZkdPpJbOvBqjYnDq23Zp9,https://api.spotify.com/v1/audio-analysis/4ZkdPpJbOvBqjYnDq23Zp9,248520,4,また君と
0.679,0.821,1,-5.164,1,0.0281,0.163,0.0,0.0922,0.54,111.985,audio_features,7bMJf6O50SB7FuLQi47ep2,spotify:track:7bMJf6O50SB7FuLQi47ep2,https://api.spotify.com/v1/tracks/7bMJf6O50SB7FuLQi47ep2,https://api.spotify.com/v1/audio-analysis/7bMJf6O50SB7FuLQi47ep2,203900,4,My Love
0.532,0.166,8,-11.356,1,0.0317,0.82,0.0,0.0694,0.192,112.158,audio_features,1ocbxAB69xnBrjBH6bdE6Y,spotify:track:1ocbxAB69xnBrjBH6bdE6Y,https://api.spotify.com/v1/tracks/1ocbxAB69xnBrjBH6bdE6Y,https://api.spotify.com/v1/audio-analysis/1ocbxAB69xnBrjBH6bdE6Y,197143,4,1000x
0.556,0.748,6,-4.595,1,0.073,0.075,0.0,0.117,0.53,170.04,audio_features,10Gmvqw6AhGaIwCjPmfyBU,spotify:track:10Gmvqw6AhGaIwCjPmfyBU,https://api.spotify.com/v1/tracks/10Gmvqw6AhGaIwCjPmfyBU,https://api.spotify.com/v1/audio-analysis/10Gmvqw6AhGaIwCjPmfyBU,325427,4,Baby I Love U - English Version
0.574,0.758,7,-4.581,1,0.0381,0.00212,6.88e-05,0.0492,0.672,163.869,audio_features,3HXEbn3K3hrndR9BLf5EjJ,spotify:track:3HXEbn3K3hrndR9BLf5EjJ,https://api.spotify.com/v1/tracks/3HXEbn3K3hrndR9BLf5EjJ,https://api.spotify.com/v1/audio-analysis/3HXEbn3K3hrndR9BLf5EjJ,178840,4,Nanana
0.7,0.457,7,-8.667,1,0.0621,0.369,0.0,0.106,0.433,144.905,audio_features,0iw0EuzmMKMYvZuQYW8DBA,spotify:track:0iw0EuzmMKMYvZuQYW8DBA,https://api.spotify.com/v1/tracks/0iw0EuzmMKMYvZuQYW8DBA,https://api.spotify.com/v1/audio-analysis/0iw0EuzmMKMYvZuQYW8DBA,194757,4,Beautiful Scars
0.793,0.544,6,-8.239,0,0.172,0.446,0.0,0.136,0.644,129.869,audio_features,0BtNESHCGOSyDm3mlKpZ6a,spotify:track:0BtNESHCGOSyDm3mlKpZ6a,https://api.spotify.com/v1/tracks/0BtNESHCGOSyDm3mlKpZ6a,https://api.spotify.com/v1/audio-analysis/0BtNESHCGOSyDm3mlKpZ6a,182423,4,Can't Stay Away
0.574,0.25,4,-10.851,1,0.0385,0.749,0.0,0.152,0.481,111.688,audio_features,2zd4wFulnDGV7gYJb5sZds,spotify:track:2zd4wFulnDGV7gYJb5sZds,https://api.spotify.com/v1/tracks/2zd4wFulnDGV7gYJb5sZds,https://api.spotify.com/v1/audio-analysis/2zd4wFulnDGV7gYJb5sZds,167679,4,A Whole New World - Acoustic
0.555,0.11,4,-15.696,1,0.0386,0.934,0.000239,0.0667,0.326,138.858,audio_features,7peJjuEV61UFfpjK4LGVES,spotify:track:7peJjuEV61UFfpjK4LGVES,https://api.spotify.com/v1/tracks/7peJjuEV61UFfpjK4LGVES,https://api.spotify.com/v1/audio-analysis/7peJjuEV61UFfpjK4LGVES,270000,3,Care
0.488,0.54,9,-8.507,1,0.0346,0.0301,0.0,0.777,0.275,119.992,audio_features,7HtLoGhayPDyybBnslW35P,spotify:track:7HtLoGhayPDyybBnslW35P,https://api.spotify.com/v1/tracks/7HtLoGhayPDyybBnslW35P,https://api.spotify.com/v1/audio-analysis/7HtLoGhayPDyybBnslW35P,241707,4,To Love You More - Live
0.495,0.466,5,-6.73,1,0.0272,0.75,1.35e-06,0.152,0.27,59.29,audio_features,3FzXFJiErwL3Pc5YXMgzMD,spotify:track:3FzXFJiErwL3Pc5YXMgzMD,https://api.spotify.com/v1/tracks/3FzXFJiErwL3Pc5YXMgzMD,https://api.spotify.com/v1/audio-analysis/3FzXFJiErwL3Pc5YXMgzMD,243053,4,Miracle (Feat. Paul Kim)
0.386,0.123,0,-11.522,0,0.0418,0.911,3.66e-06,0.143,0.359,103.193,audio_features,6DFWVgfpRM0V88LUvzEVgv,spotify:track:6DFWVgfpRM0V88LUvzEVgv,https://api.spotify.com/v1/tracks/6DFWVgfpRM0V88LUvzEVgv,https://api.spotify.com/v1/audio-analysis/6DFWVgfpRM0V88LUvzEVgv,192039,5,Passionfruit
0.726,0.542,7,-7.952,1,0.042,0.702,0.0,0.0962,0.396,89.583,audio_features,6C2nrsOlb3jOUGcJAmPrTA,spotify:track:6C2nrsOlb3jOUGcJAmPrTA,https://api.spotify.com/v1/tracks/6C2nrsOlb3jOUGcJAmPrTA,https://api.spotify.com/v1/audio-analysis/6C2nrsOlb3jOUGcJAmPrTA,253013,4,Tell Me Where It Hurts
0.523,0.357,9,-7.406,0,0.0321,0.821,0.0,0.118,0.263,105.539,audio_features,0ZJA3QhZZCun3NfJbZNP1M,spotify:track:0ZJA3QhZZCun3NfJbZNP1M,https://api.spotify.com/v1/tracks/0ZJA3QhZZCun3NfJbZNP1M,https://api.spotify.com/v1/audio-analysis/0ZJA3QhZZCun3NfJbZNP1M,258693,4,One Last Cry
0.505,0.283,9,-8.37,1,0.0429,0.827,0.0,0.0732,0.316,123.964,audio_features,4enEJGj42a9Nk9Gh7DNhWL,spotify:track:4enEJGj42a9Nk9Gh7DNhWL,https://api.spotify.com/v1/tracks/4enEJGj42a9Nk9Gh7DNhWL,https://api.spotify.com/v1/audio-analysis/4enEJGj42a9Nk9Gh7DNhWL,312347,4,Let Me Be The One
0.577,0.142,7,-13.729,1,0.0514,0.697,0.0,0.138,0.379,124.517,audio_features,1zd2s5NrDSooXt1YMXGrAS,spotify:track:1zd2s5NrDSooXt1YMXGrAS,https://api.spotify.com/v1/tracks/1zd2s5NrDSooXt1YMXGrAS,https://api.spotify.com/v1/audio-analysis/1zd2s5NrDSooXt1YMXGrAS,281923,4,"想当年,我们一起走音的歌"
