danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0.663,0.846,8,-4.015,0,0.0801,0.192,0.0,0.173,0.59,123.995,audio_features,6YnkswUQX2GXOhywMsBDqp,spotify:track:6YnkswUQX2GXOhywMsBDqp,https://api.spotify.com/v1/tracks/6YnkswUQX2GXOhywMsBDqp,https://api.spotify.com/v1/audio-analysis/6YnkswUQX2GXOhywMsBDqp,185813,4,Family - Frank Walker Remix
0.529,0.378,5,-9.238,1,0.0384,0.6,1.51e-06,0.0889,0.139,115.505,audio_features,60xTyEfoVFgxmrKXb51dDi,spotify:track:60xTyEfoVFgxmrKXb51dDi,https://api.spotify.com/v1/tracks/60xTyEfoVFgxmrKXb51dDi,https://api.spotify.com/v1/audio-analysis/60xTyEfoVFgxmrKXb51dDi,228122,4,Rare - Alexander 23 Edit
0.676,0.815,8,-4.294,1,0.0625,0.00146,0.00041,0.275,0.796,117.973,audio_features,2kJu14V7hbZw3I4K8L8SXb,spotify:track:2kJu14V7hbZw3I4K8L8SXb,https://api.spotify.com/v1/tracks/2kJu14V7hbZw3I4K8L8SXb,https://api.spotify.com/v1/audio-analysis/2kJu14V7hbZw3I4K8L8SXb,193531,4,Stupid Love
0.675,0.92,0,-7.153,0,0.054,0.0123,0.114,0.329,0.841,132.0,audio_features,23PIMIlFx1FeiCmmIf1RgZ,spotify:track:23PIMIlFx1FeiCmmIf1RgZ,https://api.spotify.com/v1/tracks/23PIMIlFx1FeiCmmIf1RgZ,https://api.spotify.com/v1/audio-analysis/23PIMIlFx1FeiCmmIf1RgZ,329280,4,Tondo
0.814,0.811,4,-3.523,1,0.0597,0.183,0.000316,0.271,0.513,122.041,audio_features,4zCEJUxsW73s2sIIoM4SLC,spotify:track:4zCEJUxsW73s2sIIoM4SLC,https://api.spotify.com/v1/tracks/4zCEJUxsW73s2sIIoM4SLC,https://api.spotify.com/v1/audio-analysis/4zCEJUxsW73s2sIIoM4SLC,186490,4,Mistakes
0.415,0.695,7,-5.821,0,0.162,0.23,1.93e-06,0.13,0.193,172.299,audio_features,6QMgSasUZYyVzaAvc7BYLZ,spotify:track:6QMgSasUZYyVzaAvc7BYLZ,https://api.spotify.com/v1/tracks/6QMgSasUZYyVzaAvc7BYLZ,https://api.spotify.com/v1/audio-analysis/6QMgSasUZYyVzaAvc7BYLZ,208933,3,Where Am I At
0.591,0.192,9,-17.677,1,0.0395,0.494,0.355,0.0925,0.139,120.065,audio_features,1irAU9T3JA8TupHdgC2yR9,spotify:track:1irAU9T3JA8TupHdgC2yR9,https://api.spotify.com/v1/tracks/1irAU9T3JA8TupHdgC2yR9,https://api.spotify.com/v1/audio-analysis/1irAU9T3JA8TupHdgC2yR9,236125,5,Everything I Wanted
0.472,0.996,1,-0.578,1,0.16,0.00687,0.0,0.392,0.114,117.004,audio_features,25Rdrp7aqTB3x3coVETp0N,spotify:track:25Rdrp7aqTB3x3coVETp0N,https://api.spotify.com/v1/tracks/25Rdrp7aqTB3x3coVETp0N,https://api.spotify.com/v1/audio-analysis/25Rdrp7aqTB3x3coVETp0N,260017,4,It's A Raid (feat. Post Malone)
0.674,0.81,11,-5.521,0,0.0463,0.00844,0.000639,0.143,0.572,124.022,audio_features,7d9aNPQ3idYpe9zjQHSLwQ,spotify:track:7d9aNPQ3idYpe9zjQHSLwQ,https://api.spotify.com/v1/tracks/7d9aNPQ3idYpe9zjQHSLwQ,https://api.spotify.com/v1/audio-analysis/7d9aNPQ3idYpe9zjQHSLwQ,340076,4,Don't Start Now - Live in LA Remix
0.756,0.493,9,-10.891,1,0.0547,0.165,0.0,0.203,0.751,91.981,audio_features,26HnMNj7UQtezw104nRziU,spotify:track:26HnMNj7UQtezw104nRziU,https://api.spotify.com/v1/tracks/26HnMNj7UQtezw104nRziU,https://api.spotify.com/v1/audio-analysis/26HnMNj7UQtezw104nRziU,172174,4,Be Cool
0.748,0.566,10,-10.174,0,0.0998,0.383,6.19e-06,0.236,0.701,142.035,audio_features,72McVYThUxWasGByny8wE5,spotify:track:72McVYThUxWasGByny8wE5,https://api.spotify.com/v1/tracks/72McVYThUxWasGByny8wE5,https://api.spotify.com/v1/audio-analysis/72McVYThUxWasGByny8wE5,188312,4,Antisocial (with Travis Scott) - Steel Banglez & Zeph Ellis Remix
0.27,0.541,2,-5.838,1,0.0301,0.578,0.0,0.344,0.402,82.296,audio_features,5jx0JszYbdr8ERh0GOKF5Q,spotify:track:5jx0JszYbdr8ERh0GOKF5Q,https://api.spotify.com/v1/tracks/5jx0JszYbdr8ERh0GOKF5Q,https://api.spotify.com/v1/audio-analysis/5jx0JszYbdr8ERh0GOKF5Q,215200,4,Run Through Walls - Orchestral Version
0.706,0.833,9,-6.222,0,0.036,0.00274,0.0364,0.129,0.169,135.996,audio_features,1jTWXkeqhou44WtPcUACjH,spotify:track:1jTWXkeqhou44WtPcUACjH,https://api.spotify.com/v1/tracks/1jTWXkeqhou44WtPcUACjH,https://api.spotify.com/v1/audio-analysis/1jTWXkeqhou44WtPcUACjH,199047,4,The Power of Love II [edit]
0.359,0.0231,4,-30.844,1,0.0528,0.865,0.901,0.167,0.307,90.145,audio_features,3d1wMTOxO33bum3L9q3FST,spotify:track:3d1wMTOxO33bum3L9q3FST,https://api.spotify.com/v1/tracks/3d1wMTOxO33bum3L9q3FST,https://api.spotify.com/v1/audio-analysis/3d1wMTOxO33bum3L9q3FST,185000,4,My Heart Will Go On
0.572,0.742,8,-4.589,0,0.0347,0.245,0.0,0.108,0.376,127.19,audio_features,20d27F17AZOxTJOEHAVK2Y,spotify:track:20d27F17AZOxTJOEHAVK2Y,https://api.spotify.com/v1/tracks/20d27F17AZOxTJOEHAVK2Y,https://api.spotify.com/v1/audio-analysis/20d27F17AZOxTJOEHAVK2Y,210236,4,Conversations in the Dark - John Legend vs. David Guetta
